team,teamId,code,wc26PackageGroup,confederation,fifaRank,isHost,coach,playingStyle,keyPlayers,worldCupAppearances,worldCupTitles,bestResult,source
Mexico,mex,MEX,A,CONCACAF,16,true,Javier Aguirre,Defensively disciplined with quick transitions and strong set-piece play.,"Edson Alvarez (MID, Fenerbahce); Santiago Gimenez (FWD, AC Milan); Guillermo Ochoa (GK, AEL Limassol)",17,0,"Quarter-finals (1970, 1986)",wc26-mcp package 0.3.1
South Africa,rsa,RSA,A,CAF,57,false,Hugo Broos,"High-energy pressing with young, athletic talent and direct attacking play.","Percy Tau (FWD, Thep Xanh Nam Dinh); Ronwen Williams (GK, Mamelodi Sundowns); Themba Zwane (MID, Mamelodi Sundowns)",4,0,"Group stage (1998, 2002, 2010)",wc26-mcp package 0.3.1
South Korea,kor,KOR,A,AFC,22,false,Hong Myung-bo,Tactically versatile with high pressing intensity and strong collective discipline.,"Son Heung-min (FWD, Tottenham Hotspur); Kim Min-jae (DEF, Bayern Munich); Lee Kang-in (MID, Paris Saint-Germain)",11,0,Semi-finals (2002),wc26-mcp package 0.3.1
UEFA Playoff D Winner,tbd_uefa_d,TBD,A,UEFA,,false,TBD,To be determined after UEFA Playoff D concludes.,,0,0,TBD,wc26-mcp package 0.3.1
Canada,can,CAN,B,CONCACAF,29,true,Jesse Marsch,"High-pressing, physically imposing side with pace on the wings and direct attacking transitions.","Alphonso Davies (DEF, Bayern Munich); Jonathan David (FWD, Juventus); Tajon Buchanan (MID, Villarreal)",2,0,Group stage (2022),wc26-mcp package 0.3.1
Switzerland,sui,SUI,B,UEFA,18,false,Murat Yakin,Organized and compact defensively with a structured build-up and ability to absorb pressure before striking on the counter.,"Granit Xhaka (MID, Bayer Leverkusen); Manuel Akanji (DEF, Manchester City); Breel Embolo (FWD, Monaco)",12,0,"Quarter-finals (1934, 1938, 1954)",wc26-mcp package 0.3.1
Qatar,qat,QAT,B,AFC,54,false,Julen Lopetegui,Possession-based approach with emphasis on technical quality and tactical discipline.,"Akram Afif (FWD, Al Sadd); Almoez Ali (FWD, Al Duhail); Hassan Al-Haydos (MID, Al Sadd)",2,0,Group stage (2022),wc26-mcp package 0.3.1
UEFA Playoff A Winner,tbd_uefa_a,TBD,B,UEFA,,false,TBD,To be determined after UEFA Playoff A concludes.,,0,0,TBD,wc26-mcp package 0.3.1
Brazil,bra,BRA,C,CONMEBOL,5,false,Dorival Junior,"Flair-driven attack with creative wide players, strong individual skill, and a tradition of expansive football.","Vinicius Junior (FWD, Real Madrid); Rodrygo (FWD, Real Madrid); Bruno Guimaraes (MID, Newcastle United)",22,5,Champions (2002),wc26-mcp package 0.3.1
Morocco,mar,MAR,C,CAF,8,false,Walid Regragui,Defensively resolute with rapid counter-attacks and a fearless big-game mentality built on 2022 semi-final run.,"Achraf Hakimi (DEF, Paris Saint-Germain); Hakim Ziyech (MID, Wydad AC); Youssef En-Nesyri (FWD, Fenerbahce)",7,0,Semi-finals (2022),wc26-mcp package 0.3.1
Haiti,hai,HAI,C,CONCACAF,84,false,Sebastien Migne,Energetic and passionate with quick passing combinations and reliance on speed in transition.,"Frantzdy Pierrot (FWD, AEK Athens); Derrick Etienne Jr. (MID, Columbus Crew); Josue Duverger (GK, Real Espana)",1,0,Group stage (1974),wc26-mcp package 0.3.1
Scotland,sco,SCO,C,UEFA,38,false,Steve Clarke,"Compact and disciplined with a low block and direct build-up, relying on set pieces and physicality.","Andrew Robertson (DEF, Liverpool); John McGinn (MID, Aston Villa); Scott McTominay (MID, Napoli)",9,0,"Group stage (1974, 1978, 1982, 1986, 1990, 1998)",wc26-mcp package 0.3.1
United States,usa,USA,D,CONCACAF,15,true,Mauricio Pochettino,"Athletic and high-pressing with a young, technically gifted squad and versatile attacking options.","Christian Pulisic (FWD, AC Milan); Weston McKennie (MID, Juventus); Yunus Musah (MID, AC Milan)",11,0,Semi-finals (1930),wc26-mcp package 0.3.1
Paraguay,par,PAR,D,CONMEBOL,40,false,Gustavo Alfaro,Physically combative with a deep defensive block and dangerous set-piece delivery.,"Miguel Almiron (MID, Atlanta United); Julio Enciso (FWD, Strasbourg); Gustavo Gomez (DEF, Palmeiras)",9,0,"Round of 16 (1998, 2002, 2006, 2010)",wc26-mcp package 0.3.1
Australia,aus,AUS,D,AFC,27,false,Tony Popovic,Hard-working and organized with a counter-attacking focus and strong aerial presence.,"Mathew Leckie (FWD, Melbourne City); Jackson Irvine (MID, St. Pauli); Harry Souttar (DEF, Leicester City)",6,0,"Round of 16 (2006, 2022)",wc26-mcp package 0.3.1
UEFA Playoff C Winner,tbd_uefa_c,TBD,D,UEFA,,false,TBD,To be determined after UEFA Playoff C concludes.,,0,0,TBD,wc26-mcp package 0.3.1
Germany,ger,GER,E,UEFA,10,false,Julian Nagelsmann,"Possession-oriented with aggressive pressing, tactical flexibility, and quick vertical transitions.","Jamal Musiala (MID, Bayern Munich); Florian Wirtz (MID, Liverpool); Kai Havertz (FWD, Arsenal)",20,4,Champions (2014),wc26-mcp package 0.3.1
Ecuador,ecu,ECU,E,CONMEBOL,23,false,Sebastian Beccacece,High-altitude conditioning translates to relentless pressing and physical endurance with pacey forwards.,"Moises Caicedo (MID, Chelsea); Enner Valencia (FWD, Pachuca); Piero Hincapie (DEF, Arsenal)",4,0,Round of 16 (2006),wc26-mcp package 0.3.1
Ivory Coast,civ,CIV,E,CAF,37,false,Emerse Fae,Explosive attacking talent combined with aggressive pressing and flair on the ball.,"Sebastien Haller (FWD, FC Utrecht); Franck Kessie (MID, Al Ahli); Simon Adingra (FWD, Monaco)",4,0,"Group stage (2006, 2010, 2014)",wc26-mcp package 0.3.1
Curacao,cuw,CUW,E,CONCACAF,82,false,Dick Advocaat,Compact and defensively oriented with quick transitions and reliance on individual quality in attack.,"Juninho Bacuna (MID, FC Volendam); Kenji Gorre (FWD, Maccabi Haifa); Eloy Room (GK, Miami FC)",1,0,Debut appearance (2026),wc26-mcp package 0.3.1
Netherlands,ned,NED,F,UEFA,7,false,Ronald Koeman,"Total Football philosophy with positional interchange, technical build-up, and possession dominance.","Cody Gakpo (FWD, Liverpool); Virgil van Dijk (DEF, Liverpool); Frenkie de Jong (MID, Barcelona)",11,0,"Runners-up (1974, 1978, 2010)",wc26-mcp package 0.3.1
Japan,jpn,JPN,F,AFC,19,false,Hajime Moriyasu,"Tactically astute with rapid transitions, high pressing, and disciplined defensive structure. Known for upsetting favorites.","Takefusa Kubo (FWD, Real Sociedad); Wataru Endo (MID, Liverpool); Kaoru Mitoma (FWD, Brighton)",7,0,"Round of 16 (2002, 2010, 2022)",wc26-mcp package 0.3.1
Tunisia,tun,TUN,F,CAF,47,false,Sami Trabelsi,Physically strong and well-organized with a pragmatic approach and clinical counter-attacking.,"Aissa Laidouni (MID, Al-Wakrah); Youssef Msakni (FWD, Esperance de Tunis); Hannibal Mejbri (MID, Burnley)",6,0,"Group stage (1978, 1998, 2002, 2006, 2018, 2022)",wc26-mcp package 0.3.1
UEFA Playoff B Winner,tbd_uefa_b,TBD,F,UEFA,,false,TBD,To be determined after UEFA Playoff B concludes.,,0,0,TBD,wc26-mcp package 0.3.1
Belgium,bel,BEL,G,UEFA,9,false,Rudi Garcia,"Technically gifted with creative midfield play, though transitioning from a golden generation to emerging new talent.","Kevin De Bruyne (MID, Napoli); Jeremy Doku (FWD, Manchester City); Amadou Onana (MID, Aston Villa)",14,0,Semi-finals (2018),wc26-mcp package 0.3.1
