team,styleTags,attackRating,midfieldRating,defenseRating,transitionRating,setPieceRating,squadTier,strengths,weaknesses,playingStyle,keyPlayers,source,updatedAt
Algeria,possession,80.85,81.59,81.09,79.59,79.59,strong,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,"Technically proficient with a structured build-up, strong midfield control, and clinical finishing.","Riyad Mahrez (FWD, Al Ahli); Ismael Bennacer (MID, Dinamo Zagreb); Islam Slimani (FWD, CFR Cluj)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Argentina,,87.97,86.50,88.00,86.50,86.50,elite,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,"Balanced and cohesive with elite individual quality, a rock-solid defense, and Messi's orchestration in attack.","Lionel Messi (FWD, Inter Miami); Julian Alvarez (FWD, Atletico Madrid); Enzo Fernandez (MID, Chelsea)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Australia,transition|compact|setPieces|creativeAttack,82.45,78.56,81.26,81.16,81.36,strong,front-line quality|defensive stability|transition threat|set pieces,no major proxy weakness,Hard-working and organized with a counter-attacking focus and strong aerial presence.,"Mathew Leckie (FWD, Melbourne City); Jackson Irvine (MID, St. Pauli); Harry Souttar (DEF, Leicester City)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Austria,pressing|transition,83.99,81.98,82.18,84.78,81.18,strong,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,"Intense gegenpressing with a structured positional game, vertical transitions, and relentless energy under Rangnick.","David Alaba (DEF, Real Madrid); Marcel Sabitzer (MID, Borussia Dortmund); Christoph Baumgartner (MID, RB Leipzig)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Belgium,transition|possession|creativeAttack,87.78,84.63,83.13,85.23,82.63,elite,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,"Technically gifted with creative midfield play, though transitioning from a golden generation to emerging new talent.","Kevin De Bruyne (MID, Napoli); Jeremy Doku (FWD, Manchester City); Amadou Onana (MID, Aston Villa)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Bosnia and Herzegovina,,74.71,74.08,73.08,74.08,74.08,solid,balanced profile,no major proxy weakness,,,"derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Brazil,creativeAttack,86.95,84.05,84.55,84.05,84.05,elite,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,"Flair-driven attack with creative wide players, strong individual skill, and a tradition of expansive football.","Vinicius Junior (FWD, Real Madrid); Rodrygo (FWD, Real Madrid); Bruno Guimaraes (MID, Newcastle United)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Canada,pressing|transition|setPieces|creativeAttack,80.45,77.50,78.20,80.30,78.90,solid,front-line quality|transition threat|set pieces|clean-sheet form,no major proxy weakness,"High-pressing, physically imposing side with pace on the wings and direct attacking transitions.","Alphonso Davies (DEF, Bayern Munich); Jonathan David (FWD, Juventus); Tajon Buchanan (MID, Villarreal)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Cape Verde,transition|possession|creativeAttack,71.97,70.08,69.08,70.68,68.08,limited,clean-sheet form,defensive vulnerability|market-value data missing,"Technically skilled with flair on the ball, emphasizing width and individual creativity in tight spaces.","Garry Rodrigues (FWD, Apollon Limassol); Kenny Rocha Santos (MID, Al-Ittihad); Stopira (DEF, Giresunspor)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Colombia,possession|setPieces|creativeAttack,83.58,82.61,81.61,80.61,82.81,strong,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,"Possession-based with technical flair, creative playmaking through James Rodriguez, and physicality in midfield.","Luis Diaz (FWD, Liverpool); James Rodriguez (MID, Minnesota United); Jhon Arias (FWD, Palmeiras)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Croatia,possession,83.84,84.37,83.37,82.37,82.37,elite,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,Technically masterful midfield-driven team with exceptional passing quality and big-tournament pedigree.,"Luka Modric (MID, Real Madrid); Mateo Kovacic (MID, Manchester City); Josko Gvardiol (DEF, Manchester City)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Curaçao,,65.90,66.11,66.61,66.11,66.11,fragile,balanced profile,limited finishing profile|defensive vulnerability|can lose central control,,,"derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Czech Republic,,75.58,75.37,75.87,75.37,75.37,solid,balanced profile,no major proxy weakness,,,"derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
DR Congo,,71.17,70.54,72.54,70.54,70.54,limited,clean-sheet form|winning momentum,market-value data missing,,,"derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Ecuador,pressing|transition|setPieces,78.95,78.34,79.04,81.14,79.74,strong,defensive stability|transition threat|set pieces|clean-sheet form,no major proxy weakness,High-altitude conditioning translates to relentless pressing and physical endurance with pacey forwards.,"Moises Caicedo (MID, Chelsea); Enner Valencia (FWD, Pachuca); Piero Hincapie (DEF, Arsenal)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Egypt,compact|creativeAttack,79.47,76.92,80.12,76.92,77.52,solid,front-line quality|defensive stability|clean-sheet form,no major proxy weakness,Structured defensively with a reliance on star forward Mohamed Salah for creative spark and goals.,"Mohamed Salah (FWD, Liverpool); Omar Marmoush (FWD, Manchester City); Mohamed Elneny (MID, Al Jazira)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
England,compact,87.24,86.05,90.00,86.05,86.65,elite,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,Structured and tactically sophisticated with strong defensive organization and quality in wide areas.,"Jude Bellingham (MID, Real Madrid); Bukayo Saka (FWD, Arsenal); Phil Foden (MID, Manchester City)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
France,compact|creativeAttack,89.82,86.50,89.20,86.50,87.10,elite,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,"Pragmatic and adaptable with world-class individual talent, capable of both defensive solidity and explosive attacking football.","Kylian Mbappe (FWD, Real Madrid); Michael Olise (FWD, Bayern Munich); Aurelien Tchouameni (MID, Real Madrid)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Germany,pressing|transition|possession,88.34,88.61,86.31,89.41,85.81,elite,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,"Possession-oriented with aggressive pressing, tactical flexibility, and quick vertical transitions.","Jamal Musiala (MID, Bayern Munich); Florian Wirtz (MID, Liverpool); Kai Havertz (FWD, Arsenal)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Ghana,transition,75.57,74.23,74.73,76.83,74.23,solid,balanced profile,no major proxy weakness,"Athletic and dynamic with pace in attack, spirited performances, and strong team unity.","Mohammed Kudus (MID, Tottenham Hotspur); Thomas Partey (MID, Villarreal); Antoine Semenyo (FWD, Bournemouth)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Haiti,transition|possession,67.85,68.65,67.15,69.25,66.65,fragile,balanced profile,limited finishing profile|defensive vulnerability|can lose central control,Energetic and passionate with quick passing combinations and reliance on speed in transition.,"Frantzdy Pierrot (FWD, AEK Athens); Derrick Etienne Jr. (MID, Columbus Crew); Josue Duverger (GK, Real Espana)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Iran,transition|compact|setPieces,79.87,78.04,81.74,80.64,80.84,strong,front-line quality|defensive stability|transition threat|set pieces,no major proxy weakness,"Defensively resilient with a low block, physical duels, and dangerous on set pieces and counter-attacks.","Mehdi Taremi (FWD, Olympiacos); Sardar Azmoun (FWD, Shabab Al-Ahli); Alireza Beiranvand (GK, Persepolis)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Iraq,,75.75,75.47,75.97,75.47,75.47,solid,balanced profile,no major proxy weakness,,,"derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Ivory Coast,pressing|creativeAttack,74.79,72.48,73.18,72.68,71.68,limited,clean-sheet form|winning momentum,market-value data missing,Explosive attacking talent combined with aggressive pressing and flair on the ball.,"Sebastien Haller (FWD, FC Utrecht); Franck Kessie (MID, Al Ahli); Simon Adingra (FWD, Monaco)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Japan,pressing|transition|compact,82.48,81.24,84.14,84.04,81.04,strong,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,"Tactically astute with rapid transitions, high pressing, and disciplined defensive structure. Known for upsetting favorites.","Takefusa Kubo (FWD, Real Sociedad); Wataru Endo (MID, Liverpool); Kaoru Mitoma (FWD, Brighton)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
Jordan,compact,75.05,74.70,76.90,74.70,75.30,solid,balanced profile,no major proxy weakness,Defensively organized with disciplined shape and capable of producing surprise results through collective effort.,"Mousa Al-Taamari (FWD, Montpellier); Yazan Al-Naimat (FWD, Young Boys); Yazeed Abo Laila (GK, Omonoia)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-15
